date;topic;temp;lat;lng
2019-10-03-16-45-23;TempGPS;17.812;52.423;13.2975
2019-10-03-16-45-25;TempGPS;17.812;52.423;13.2975
2019-10-03-16-45-46;TempGPS;17.812;52.4233;13.2972
2019-10-03-16-45-49;TempGPS;17.812;52.4233;13.2972
2019-10-03-16-45-51;TempGPS;17.812;52.4234;13.2971
2019-10-03-16-45-54;TempGPS;17.812;52.4234;13.2971
2019-10-03-16-45-57;TempGPS;17.75;52.4234;13.297
2019-10-03-16-45-59;TempGPS;17.75;52.4235;13.297
2019-10-03-16-46-09;TempGPS;17.812;52.4236;13.2968
2019-10-03-16-46-11;TempGPS;17.812;52.4236;13.2967
2019-10-03-16-46-32;TempGPS;17.75;52.4238;13.2963
2019-10-03-16-46-34;TempGPS;17.75;52.4238;13.2963
2019-10-03-16-47-18;TempGPS;17.687;52.424;13.2952
2019-10-03-16-47-42;TempGPS;17.687;52.424;13.2946
2019-10-03-16-47-44;TempGPS;17.75;52.424;13.2945
2019-10-03-16-48-03;TempGPS;17.687;52.424;13.2941
2019-10-03-16-48-09;TempGPS;17.687;52.424;13.2939
2019-10-03-16-48-16;TempGPS;17.687;52.424;13.2937
2019-10-03-16-48-22;TempGPS;17.687;52.424;13.2936
2019-10-03-16-48-26;TempGPS;17.687;52.424;13.2935
2019-10-03-16-48-28;TempGPS;17.687;52.424;13.2935
2019-10-03-16-48-30;TempGPS;17.687;52.424;13.2934
2019-10-03-16-48-40;TempGPS;17.687;52.424;13.2931
2019-10-03-16-48-42;TempGPS;17.687;52.424;13.2931
2019-10-03-16-48-53;TempGPS;17.687;52.4242;13.293
2019-10-03-16-48-56;TempGPS;17.687;52.4242;13.2929
2019-10-03-16-49-00;TempGPS;17.687;52.4243;13.2929
2019-10-03-16-49-03;TempGPS;17.687;52.4243;13.2928
2019-10-03-16-49-06;TempGPS;17.687;52.4244;13.2928
2019-10-03-16-49-30;TempGPS;17.687;52.4247;13.2926
2019-10-03-16-49-33;TempGPS;17.687;52.4248;13.2926
2019-10-03-16-49-42;TempGPS;17.687;52.4249;13.2925
2019-10-03-16-49-44;TempGPS;17.687;52.4249;13.2925
2019-10-03-16-50-07;TempGPS;17.687;52.4252;13.2922
2019-10-03-16-50-09;TempGPS;17.687;52.4253;13.2922
2019-10-03-16-50-30;TempGPS;17.625;52.4256;13.292
2019-10-03-16-50-33;TempGPS;17.687;52.4257;13.292
2019-10-03-16-50-46;TempGPS;17.687;52.4258;13.2919
2019-10-03-16-50-48;TempGPS;17.687;52.4259;13.2918
2019-10-03-16-50-52;TempGPS;17.625;52.4259;13.2918
2019-10-03-16-50-55;TempGPS;17.625;52.426;13.2917
2019-10-03-16-51-22;TempGPS;17.625;52.4264;13.2915
2019-10-03-16-51-24;TempGPS;17.625;52.4264;13.2915
2019-10-03-16-51-26;TempGPS;17.625;52.4264;13.2915
2019-10-03-16-51-28;TempGPS;17.625;52.4264;13.2914
2019-10-03-16-51-44;TempGPS;17.625;52.4267;13.2913
2019-10-03-16-51-46;TempGPS;17.625;52.4267;13.2913
2019-10-03-16-52-07;TempGPS;17.625;52.427;13.2911
2019-10-03-16-52-09;TempGPS;17.625;52.427;13.291
2019-10-03-16-52-30;TempGPS;17.562;52.4273;13.2908
2019-10-03-16-52-32;TempGPS;17.625;52.4273;13.2908
2019-10-03-16-52-53;TempGPS;17.562;52.4277;13.2905
2019-10-03-16-52-55;TempGPS;17.562;52.4277;13.2905
2019-10-03-16-53-16;TempGPS;17.562;52.428;13.2904
2019-10-03-16-53-18;TempGPS;17.562;52.428;13.2903
2019-10-03-16-53-39;TempGPS;17.562;52.4283;13.2901
2019-10-03-16-53-41;TempGPS;17.562;52.4284;13.2901
2019-10-03-16-54-02;TempGPS;17.562;52.4286;13.2899
2019-10-03-16-54-04;TempGPS;17.5;52.4287;13.2899
2019-10-03-16-54-25;TempGPS;17.562;52.4289;13.2897
2019-10-03-16-54-27;TempGPS;17.562;52.429;13.2897
2019-10-03-16-54-48;TempGPS;17.5;52.4293;13.2895
2019-10-03-16-54-50;TempGPS;17.5;52.4293;13.2895
2019-10-03-16-55-11;TempGPS;17.5;52.4296;13.2893
2019-10-03-16-55-13;TempGPS;17.437;52.4296;13.2892
2019-10-03-16-55-34;TempGPS;17.5;52.4299;13.2891
2019-10-03-16-55-36;TempGPS;17.5;52.43;13.289
2019-10-03-16-55-57;TempGPS;17.5;52.4303;13.2888
2019-10-03-16-56-00;TempGPS;17.5;52.4303;13.2888
2019-10-03-16-56-08;TempGPS;17.5;52.4304;13.2887
2019-10-03-16-56-11;TempGPS;17.5;52.4305;13.2887
2019-10-03-16-56-13;TempGPS;17.5;52.4305;13.2887
2019-10-03-16-56-15;TempGPS;17.5;52.4305;13.2887
2019-10-03-16-56-48;TempGPS;17.5;52.431;13.2883
2019-10-03-16-56-50;TempGPS;17.5;52.431;13.2883
2019-10-03-16-57-11;TempGPS;17.5;52.4313;13.2881
2019-10-03-16-57-34;TempGPS;17.437;52.4316;13.2879
2019-10-03-16-57-36;TempGPS;17.437;52.4316;13.2879
2019-10-03-16-57-57;TempGPS;17.437;52.4319;13.2877
2019-10-03-16-57-59;TempGPS;17.437;52.432;13.2876
2019-10-03-16-58-16;TempGPS;17.437;52.4322;13.2875
2019-10-03-16-58-18;TempGPS;17.437;52.4322;13.2874
2019-10-03-16-58-37;TempGPS;17.437;52.4325;13.2873
2019-10-03-16-58-40;TempGPS;17.437;52.4325;13.2873
2019-10-03-16-58-53;TempGPS;17.437;52.4327;13.2872
2019-10-03-16-58-57;TempGPS;17.437;52.4327;13.2871
2019-10-03-16-59-07;TempGPS;17.437;52.4327;13.2869
2019-10-03-16-59-09;TempGPS;17.437;52.4327;13.2869
2019-10-03-16-59-13;TempGPS;17.437;52.4327;13.2868
2019-10-03-16-59-30;TempGPS;17.437;52.4326;13.2864
2019-10-03-16-59-37;TempGPS;17.437;52.4326;13.2862
2019-10-03-16-59-39;TempGPS;17.437;52.4326;13.2862
2019-10-03-17-00-34;TempGPS;17.437;52.4328;13.2848
2019-10-03-17-00-37;TempGPS;17.437;52.4328;13.2847
2019-10-03-17-01-09;TempGPS;17.375;52.4328;13.2839
2019-10-03-17-01-32;TempGPS;17.312;52.4329;13.2833
2019-10-03-17-01-35;TempGPS;17.312;52.4329;13.2832
2019-10-03-17-01-56;TempGPS;17.312;52.4329;13.2828
2019-10-03-17-01-58;TempGPS;17.312;52.4329;13.2827
2019-10-03-17-02-25;TempGPS;17.312;52.4329;13.2819
2019-10-03-17-02-27;TempGPS;17.312;52.4329;13.2819
